～か月<div class="hint">period of months</div>,～かげつ,period of months,2か <ruby>月<rt>げつ</rt></ruby> <ruby>前<rt>まえ</rt></ruby>に <ruby>日本<rt>にほん</rt></ruby>に <ruby>来<rt>き</rt></ruby>ました。,I came to Japan 2 months ago.
アパート<div class="hint">(abbr) apartment</div>,アパート,(abbr) apartment,<ruby>東京<rt>とうきょう</rt></ruby>でアパートを <ruby>借<rt>か</rt></ruby>りています。,I am renting an apartment in Tokyo.
あまり<div class="hint">not very</div>,あまり,not very,この <ruby>本<rt>ほん</rt></ruby>はあまり <ruby>面白<rt>おもしろ</rt></ruby>くないですね。,This book isn't very interesting it is.
ある<div class="hint">to be; to exist</div>,ある,to be; to exist,テーブルの <ruby>上<rt>うえ</rt></ruby>にジュースが 3<ruby>杯<rt>さんばい</rt></ruby>あります。,There are 3 cups of juice on the table.
あれ<div class="hint">that thing; something understood without naming it directly</div>,あれ,that thing; something understood without naming it directly,あれは <ruby>何<rt>なん</rt></ruby>ですか？,What is that?
いいえ<div class="hint">no</div>,いいえ,no,,
いかが<div class="hint">how; how about</div>,いかが,how; how about,<ruby>味<rt>あじ</rt></ruby>はいかがですか？,How does it taste?
いくつ<div class="hint">how many? | how old?</div>,いくつ,how many? | how old?,<ruby>妹<rt>いもうと</rt></ruby>さんはおいくつですか？,How old is you little sister?
いくら<div class="hint">how much?; how many?</div>,いくら,how much?; how many?,この <ruby>弁当<rt>べんとう</rt></ruby>はいくらですか？,How much is this bento?
いつ<div class="hint">when</div>,いつ,when,いつまで <ruby>東京<rt>とうきょう</rt></ruby>にいますか？,Until when will you be in Tokyo?
いつも<div class="hint">always</div>,いつも,always,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>仕事<rt>しごと</rt></ruby>が <ruby>多<rt>おお</rt></ruby>くて、いつも <ruby>忙<rt>いそが</rt></ruby>しいです。,She always busy because she has a lot of work.
いる<div class="hint">to be (living things); to exist | verb indicating continuing action or state</div>,いる,to be (living things); to exist | verb indicating continuing action or state,<ruby>今<rt>いま</rt></ruby> <ruby>彼<rt>かれ</rt></ruby>は <ruby>寝<rt>ね</rt></ruby>ている。,He is sleeping now.
ええ<div class="hint">yes; that is correct; right</div>,ええ,yes; that is correct; right,,
エレベーター<div class="hint">elevator</div>,エレベーター,elevator,エレベーターが <ruby>故障<rt>こしょう</rt></ruby>しています。,The elevator is out of order.
おじいさん<div class="hint">grandfather</div>,おじいさん,grandfather,おじいさんの <ruby>世話<rt>せわ</rt></ruby>をする。,I take care of my grandfather.
おばあさん<div class="hint">grandmother</div>,おばあさん,grandmother,<ruby>彼<rt>かれ</rt></ruby>のおばあさんは <ruby>今年<rt>ことし</rt></ruby>90 <ruby>歳<rt>さい</rt></ruby>です。,His grandmonther will be 90 this year.
お兄さん<div class="hint">older brother</div>,おにいさん,older brother,お <ruby>兄<rt>にい</rt></ruby>さんは <ruby>何<rt>なん</rt></ruby> <ruby>歳<rt>さい</rt></ruby>ですか？,How old is your older brother?
お姉さん<div class="hint">elder sister</div>,おねえさん,elder sister,<ruby>彼<rt>かれ</rt></ruby>のお <ruby>姉<rt>ねえ</rt></ruby>さんは 20<ruby>歳<rt>はたち</rt></ruby>です。,His older sister is 20 years old.
お手洗い<div class="hint">toilet; restroom</div>,おてあらい,toilet; restroom,お <ruby>手洗<rt>てあら</rt></ruby>いはどこですか。,Where is the bathroom?
お母さん<div class="hint">mother</div>,おかあさん,mother,お <ruby>母<rt>かあ</rt></ruby>さんは <ruby>料理<rt>りょうり</rt></ruby>が <ruby>上手<rt>じょうず</rt></ruby>ですか？,Is your mother good at cooking.
お父さん<div class="hint">father</div>,おとうさん,father,お <ruby>父<rt>とう</rt></ruby>さんは <ruby>何<rt>なん</rt></ruby>の <ruby>仕事<rt>しごと</rt></ruby>をしていますか？,What kind of work does your father do?
お腹<div class="hint">abdomen; stomach</div>,おなか,abdomen; stomach,お <ruby>腹<rt>なか</rt></ruby>が <ruby>空<rt>す</rt></ruby>いていますか？,Are you hungry?
お茶<div class="hint">tea (usu. Green)</div>,おちゃ,tea (usu. Green),レストランのお <ruby>茶<rt>ちゃ</rt></ruby>の <ruby>方<rt>ほう</rt></ruby>が <ruby>自動販売機<rt>じどうはんばいき</rt></ruby>のお <ruby>茶<rt>ちゃ</rt></ruby>より <ruby>美味<rt>おい</rt></ruby>しいです。,Tea at the restaurant is more delicous that tea from the vending machine.
お菓子<div class="hint">confections; sweets; candy</div>,おかし,confections; sweets; candy,デパートの <ruby>地下<rt>ちか</rt></ruby>にお <ruby>菓子<rt>かし</rt></ruby>を <ruby>売<rt>う</rt></ruby>っている <ruby>店<rt>てん</rt></ruby>がたくさんあります。,There are many stores that sell sweets in the basement of the department store.
お金<div class="hint">money</div>,おかね,money,<ruby>財布<rt>さいふ</rt></ruby>にお <ruby>金<rt>かね</rt></ruby>が <ruby>入<rt>はい</rt></ruby>っています。,The money is in my wallet.
かかる<div class="hint">to take (a resource; e.g. time or money)</div>,かかる,to take (a resource; e.g. time or money),<ruby>飛行機<rt>ひこうき</rt></ruby>で <ruby>韓国<rt>かんこく</rt></ruby>まで <ruby>何時間<rt>なんじかん</rt></ruby>かかりますか？,How many hours does it take until Korea by plane?
カメラ<div class="hint">camera</div>,カメラ,camera,<ruby>私<rt>わたし</rt></ruby>のカメラは <ruby>黄色<rt>きいろ</rt></ruby>い <ruby>鞄<rt>かばん</rt></ruby>の <ruby>中<rt>なか</rt></ruby>にあります。,My camera is in the yellow bag.
カレー<div class="hint">curry</div>,カレー,curry,<ruby>辛<rt>から</rt></ruby>いカレーはあまり <ruby>好<rt>す</rt></ruby>きじゃないです。,I don't really like spicy curry.
カレンダー<div class="hint">calendar</div>,カレンダー,calendar,<ruby>来週<rt>らいしゅう</rt></ruby>の <ruby>予定<rt>よてい</rt></ruby>をカレンダーに <ruby>書<rt>か</rt></ruby>きました。,I wrote my plans for next week in the calendar.
ギター<div class="hint">guitar</div>,ギター,guitar,<ruby>先週<rt>せんしゅう</rt></ruby>の <ruby>月曜日<rt>げつようび</rt></ruby>にギターを <ruby>弾<rt>ひ</rt></ruby>きました。,I played guitar last week Monday.
キログラム<div class="hint">kilogram</div>,キログラム,kilogram,<ruby>私<rt>わたし</rt></ruby>の <ruby>体重<rt>たいじゅう</rt></ruby>は60キログラムです。,My weight is 60 kg.
キロメートル<div class="hint">kilometer</div>,キロメートル,kilometer,ここから <ruby>川<rt>かわ</rt></ruby>まで3キロメートルくらいです。,It is about 3 km from here to the river.
クラス<div class="hint">class</div>,クラス,class,<ruby>僕<rt>ぼく</rt></ruby>のクラスの <ruby>友達<rt>ともだち</rt></ruby>だよ。,She's my classmate.
グラム<div class="hint">gram (unit of measure)</div>,グラム,gram (unit of measure),<ruby>次<rt>つぎ</rt></ruby>、ボールに200グラムの <ruby>水<rt>みず</rt></ruby>と200グラムの <ruby>砂糖<rt>さとう</rt></ruby>を <ruby>入<rt>い</rt></ruby>れます。,Next; put 200g of water and 200g of sugar in the bowl.
コート<div class="hint">coat | court (i.e. tennis; basketball; etc.)</div>,コート,coat | court (i.e. tennis; basketball; etc.),このコートは <ruby>暖<rt>あたた</rt></ruby>かい。,This coat is warm.
コーヒー<div class="hint">cofee</div>,コーヒー,cofee,あの <ruby>喫茶店<rt>きっさてん</rt></ruby>に <ruby>色々<rt>いろいろ</rt></ruby>なコーヒーがあります。,There are various kids of coffee at that coffee shop.
ここ<div class="hint">here</div>,ここ,here,ここはあなたの <ruby>机<rt>つくえ</rt></ruby>です。,This is your desk.
こちら<div class="hint">this way; this direction</div>,こちら,this way; this direction,こちらが <ruby>食堂<rt>しょくどう</rt></ruby>で、そちらはトイレです。,This way is the caffeteria; that way is the toilet.
こっち<div class="hint">this way; this direction</div>,こっち,this way; this direction,こっちが <ruby>食堂<rt>しょくどう</rt></ruby>で、そっちはトイレ。,This way is the caffeteria; that way is the toilet.
コップ<div class="hint">cup; glass</div>,コップ,cup; glass,コップにお <ruby>茶<rt>ちゃ</rt></ruby>を <ruby>入<rt>い</rt></ruby>れました。,I put tea in the glass.
この<div class="hint">this (something or someone close to the speaker)</div>,この,this (something or someone close to the speaker),この <ruby>人<rt>ひと</rt></ruby>は <ruby>同<rt>おな</rt></ruby>じクラスのトムです。,This is Tom; from my class.
コピー<div class="hint">copy; photocopy</div>,コピー,copy; photocopy,この10 <ruby>枚<rt>まい</rt></ruby>のレポートをコピーしてください。,Please copy this 10 page report.
これ<div class="hint">this</div>,これ,this,これは <ruby>何<rt>なん</rt></ruby>ですか？,What is this?
こんな<div class="hint">such ; like this</div>,こんな,such ; like this,パリにこんな <ruby>美味<rt>おい</rt></ruby>しいラーメンがあると <ruby>思<rt>おも</rt></ruby>わなかった。,I didn't think there was ramen this delicious in Paris.
ご主人<div class="hint">(hon) your husband</div>,ごしゅじん,(hon) your husband,<ruby>今日<rt>きょう</rt></ruby>ご <ruby>主人<rt>しゅじん</rt></ruby>は <ruby>休<rt>やす</rt></ruby>みですか？,Is your husband off (from work) today?
さあ<div class="hint">come along; go on | well; who knows</div>,さあ,come along; go on | well; who knows,さあ、 <ruby>行<rt>い</rt></ruby>こう！,Well; let's go!
しかし<div class="hint">however; but</div>,しかし,however; but,この <ruby>店<rt>てん</rt></ruby>が <ruby>高<rt>たか</rt></ruby>いです。しかし、 <ruby>製品<rt>せいひん</rt></ruby>の <ruby>質<rt>しつ</rt></ruby>が <ruby>良<rt>い</rt></ruby>いです。,This store is expensive.  But; the goods are of high quality.
じゃ、じゃあ<div class="hint">then; well; so; well then</div>,じゃ、じゃあ,then; well; so; well then,「 <ruby>中華<rt>ちゅうか</rt></ruby>があまり <ruby>好<rt>す</rt></ruby>きじゃない。」「じゃ、タイにしよう。」,"I don't really like chinese."  "Well then; let's do Italian."
シャツ<div class="hint">shirt; under shirt</div>,シャツ,shirt; under shirt,トムは <ruby>白<rt>しろ</rt></ruby>いシャツを <ruby>着<rt>き</rt></ruby>た。,Tom put on a white shirt.
シャワー<div class="hint">shower</div>,シャワー,shower,<ruby>何時<rt>なんじ</rt></ruby>にシャワーを <ruby>浴<rt>あ</rt></ruby>びますか？,What time will you take a shower?
スカート<div class="hint">skirt</div>,スカート,skirt,<ruby>白<rt>しろ</rt></ruby>いスカートより <ruby>黒<rt>くろ</rt></ruby>いのが <ruby>好<rt>す</rt></ruby>きです。,I like the black skirt better than the white one.
すぐに<div class="hint">immediately; right away</div>,すぐに,immediately; right away,すぐに <ruby>戻<rt>もど</rt></ruby>ります。,I'll be right back.
ストーブ<div class="hint">(room) heater; stove</div>,ストーブ,(room) heater; stove,<ruby>冬<rt>ふゆ</rt></ruby>に <ruby>古<rt>ふる</rt></ruby>いストーブで <ruby>部屋<rt>へや</rt></ruby>を <ruby>暖<rt>あたた</rt></ruby>めます。,I heat my room using an old stove during winter.
スプーン<div class="hint">spoon</div>,スプーン,spoon,スプーンでスープを <ruby>食<rt>た</rt></ruby>べる。,To eat soup with a spoon
スポーツ<div class="hint">sport; sports</div>,スポーツ,sport; sports,スポーツをやるのが <ruby>好<rt>す</rt></ruby>きですけど、 <ruby>見<rt>み</rt></ruby>るのはあまり <ruby>好<rt>す</rt></ruby>きじゃないです。,I enjoy playing sports; but not really watching them.
ズボン<div class="hint">trousers; pants</div>,ズボン,trousers; pants,このズボンがちょっと <ruby>小<rt>ちい</rt></ruby>さい。,These pants are a bit small.
スリッパ<div class="hint">slipper; slippers</div>,スリッパ,slipper; slippers,スリッパを <ruby>脱<rt>ぬ</rt></ruby>いで、 <ruby>風呂<rt>ふろ</rt></ruby>に <ruby>入<rt>はい</rt></ruby>って。,Take off your slippers then go into the bath.
する<div class="hint">to do</div>,する,to do,<ruby>天気<rt>てんき</rt></ruby>が <ruby>良<rt>い</rt></ruby>い <ruby>日<rt>ひ</rt></ruby>に <ruby>洗濯<rt>せんたく</rt></ruby>をします。,I will do the laundry on a day with good weather.
セーター<div class="hint">sweater; jumper</div>,セーター,sweater; jumper,このセーターは <ruby>暖<rt>あたた</rt></ruby>かい。,This sweater is warm.
ゼロ<div class="hint">zero</div>,ゼロ,zero,<ruby>一<rt>いち</rt></ruby>の <ruby>前<rt>まえ</rt></ruby>はゼロです。,Zero comes before one.
そうして<div class="hint">and; like that</div>,そうして,and; like that,<ruby>頭<rt>あたま</rt></ruby>が <ruby>痛<rt>いた</rt></ruby>かったです。そうして、 <ruby>熱<rt>ねつ</rt></ruby>も <ruby>出<rt>で</rt></ruby>ました。,My head was sore.  Then I had a fever.
そうです<div class="hint">that is so; that is right</div>,そうです,that is so; that is right,,
そこ<div class="hint">there (place)</div>,そこ,there (place),そこにいて。,Stay there.
そして<div class="hint">and; and then; thus</div>,そして,and; and then; thus,<ruby>頭<rt>あたま</rt></ruby>が <ruby>痛<rt>いた</rt></ruby>かったです。そして、 <ruby>熱<rt>ねつ</rt></ruby>も <ruby>出<rt>で</rt></ruby>ました。,My head was sore.  Then I had a fever.
そちら<div class="hint">that way; that direction</div>,そちら,that way; that direction,そちらの <ruby>天気<rt>てんき</rt></ruby>はどうですか。,How's the weather there?
そっち<div class="hint">that way; that direction</div>,そっち,that way; that direction,そっちの <ruby>天気<rt>てんき</rt></ruby>は？,How's the weather there?
その<div class="hint">that (something or someone distant from the speaker but close to the listener)</div>,その,that (something or someone distant from the speaker but close to the listener),どうしてその <ruby>服<rt>ふく</rt></ruby>がほしいですか？,Why do you want those clothes?
それ<div class="hint">that</div>,それ,that,それは <ruby>私<rt>わたし</rt></ruby>のです。,That is mine.
