比べる<div class="hint">compare; contrast</div>,くらべる,compare; contrast,<ruby>今月<rt>こんげつ</rt></ruby>と <ruby>先月<rt>せんげつ</rt></ruby>の <ruby>売上<rt>うりあげ</rt></ruby>を <ruby>比<rt>くら</rt></ruby>べた。,I compared this month's sales with last month's.,verb
感じる<div class="hint">feel; sense</div>,かんじる,feel; sense,<ruby>膝<rt>ひざ</rt></ruby>に <ruby>痛<rt>いた</rt></ruby>みを <ruby>感<rt>かん</rt></ruby>じます。,I feel a pain in my knee.,verb
故障<div class="hint">malfunction; breakdown</div>,こしょう,malfunction; breakdown,<ruby>冷蔵庫<rt>れいぞうこ</rt></ruby>が <ruby>故障<rt>こしょう</rt></ruby>しました。,The refrigerator broke down.,verbal noun
カード<div class="hint">card</div>,かーど,card,<ruby>支払<rt>しはら</rt></ruby>いはカードでお <ruby>願<rt>ねが</rt></ruby>いします。,Please pay by credit card.,noun
火傷<div class="hint">burn</div>,やけど,burn,<ruby>彼<rt>かれ</rt></ruby>は <ruby>手<rt>て</rt></ruby>に <ruby>火傷<rt>やけど</rt></ruby>をしました。,He burned his hand.,verbal noun
乗り換える<div class="hint">change; transfer</div>,のりかえる,change; transfer,<ruby>次<rt>つぎ</rt></ruby>の <ruby>駅<rt>えき</rt></ruby>で <ruby>地下鉄<rt>ちかてつ</rt></ruby>に <ruby>乗<rt>の</rt></ruby>り <ruby>換<rt>か</rt></ruby>えます。,I'm transferring to the subway at the next station.,verb
着替える<div class="hint">change clothes</div>,きがえる,change clothes,<ruby>彼<rt>かれ</rt></ruby>はきれいな <ruby>服<rt>ふく</rt></ruby>に <ruby>着替<rt>きが</rt></ruby>えた。,He changed into clean clothes.,verb
グラム<div class="hint">gram</div>,ぐらむ,gram,ひき <ruby>肉<rt>にく</rt></ruby>を２００グラムください。,Please give me 200 grams of ground meat.,noun
被る<div class="hint">wear; put on (on one's head)</div>,かぶる,wear; put on (on one's head),<ruby>帽子<rt>ぼうし</rt></ruby>を <ruby>被<rt>かぶ</rt></ruby>って <ruby>外出<rt>がいしゅつ</rt></ruby>した。,I went out wearing a hat.,verb
壊れる<div class="hint">break; break down</div>,こわれる,break; break down,<ruby>会社<rt>かいしゃ</rt></ruby>のパソコンが <ruby>壊<rt>こわ</rt></ruby>れた。,The company computer broke down.,verb
助ける<div class="hint">help; save</div>,たすける,help; save,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>病気<rt>びょうき</rt></ruby>の <ruby>犬<rt>いぬ</rt></ruby>を <ruby>助<rt>たす</rt></ruby>けた。,She saved a sick dog.,verb
警察<div class="hint">police</div>,けいさつ,police,<ruby>警察<rt>けいさつ</rt></ruby>を <ruby>呼<rt>よ</rt></ruby>んでください。,Call the police.,noun
スキー<div class="hint">ski; skiing</div>,すきー,ski; skiing,<ruby>冬<rt>ふゆ</rt></ruby>はよくスキーに <ruby>行<rt>い</rt></ruby>きます。,We go skiing a lot in winter.,noun
殺す<div class="hint">kill</div>,ころす,kill,<ruby>私<rt>わたし</rt></ruby>は <ruby>生<rt>い</rt></ruby>き <ruby>物<rt>もの</rt></ruby>を <ruby>殺<rt>ころ</rt></ruby>すのが <ruby>嫌<rt>きら</rt></ruby>いだ。,I hate killing living things.,verb
逃げる<div class="hint">escape; run away</div>,にげる,escape; run away,<ruby>鳥<rt>とり</rt></ruby>が <ruby>窓<rt>まど</rt></ruby>から <ruby>逃<rt>に</rt></ruby>げたよ。,The bird flew out of the window.,verb
探す<div class="hint">search for; look for</div>,さがす,search for; look for,<ruby>彼<rt>かれ</rt></ruby>は <ruby>郵便<rt>ゆうびん</rt></ruby> <ruby>局<rt>きょく</rt></ruby>を <ruby>探<rt>さが</rt></ruby>していました。,He was looking for the post office.,verb
ソフト<div class="hint">software; program</div>,そふと,software; program,このソフトで <ruby>日本語<rt>にほんご</rt></ruby>を <ruby>勉強<rt>べんきょう</rt></ruby>することができます。,You can study Japanese with this software.,noun
捨てる<div class="hint">discard; abandon</div>,すてる,discard; abandon,ゴミを <ruby>捨<rt>す</rt></ruby>ててください。,Please throw away the garbage.,verb
深い<div class="hint">deep; profound</div>,ふかい,deep; profound,あの <ruby>池<rt>いけ</rt></ruby>はとても <ruby>深<rt>ふか</rt></ruby>い。,That pond is very deep.,adjective
落ちる<div class="hint">fall; come down</div>,おちる,fall; come down,<ruby>猿<rt>さる</rt></ruby>も <ruby>木<rt>き</rt></ruby>から <ruby>落<rt>お</rt></ruby>ちる。,Even monkeys fall from trees.,verb
落とす<div class="hint">drop</div>,おとす,drop,<ruby>途中<rt>とちゅう</rt></ruby>で <ruby>財布<rt>さいふ</rt></ruby>を <ruby>落<rt>お</rt></ruby>としました。,I lost my purse on the way.,verb
ひととき<div class="hint">some moments; a while</div>,ひととき,some moments; a while,<ruby>楽<rt>たの</rt></ruby>しいひとときをお <ruby>過<rt>す</rt></ruby>ごしください。,Please have a good time.,noun
流行る<div class="hint">be in fashion; be popular</div>,はやる,be in fashion; be popular,<ruby>去年<rt>きょねん</rt></ruby>はスニーカーが <ruby>流行<rt>はや</rt></ruby>りました。,Sneakers were popular last year.,verb
流れる<div class="hint">flow; stream</div>,ながれる,flow; stream,ラジオから <ruby>美<rt>うつく</rt></ruby>しい <ruby>音楽<rt>おんがく</rt></ruby>が <ruby>流<rt>なが</rt></ruby>れています。,Beautiful music is coming out from the radio.,verb
お手洗い<div class="hint">toilet; bathroom</div>,おてあらい,toilet; bathroom,お <ruby>手洗<rt>てあら</rt></ruby>いはどこですか。,Where's the bathroom?,noun
洗う<div class="hint">wash</div>,あらう,wash,<ruby>早<rt>はや</rt></ruby>く <ruby>顔<rt>かお</rt></ruby>を <ruby>洗<rt>あら</rt></ruby>いなさい。,Hurry and wash your face.,verb
カラー<div class="hint">color (loan word)</div>,からー,color (loan word),カラーコピーは <ruby>一<rt>いち</rt></ruby> <ruby>枚<rt>まい</rt></ruby>いくらですか。,How much is a color copy?,noun
冷たい<div class="hint">cold (to touch)</div>,つめたい,cold (to touch),<ruby>冷<rt>つめ</rt></ruby>たい <ruby>飲<rt>の</rt></ruby>み <ruby>物<rt>もの</rt></ruby>をください。,Please give me a cold drink.,adjective
冷める<div class="hint">cool off</div>,さめる,cool off,<ruby>彼<rt>かれ</rt></ruby>への <ruby>気持<rt>きも</rt></ruby>ちが <ruby>冷<rt>さ</rt></ruby>めた。,My feelings for him have died down.,verb
涼しい<div class="hint">cool (of temperature)</div>,すずしい,cool (of temperature),<ruby>夕方<rt>ゆうがた</rt></ruby>は <ruby>涼<rt>すず</rt></ruby>しくなりますよ。,It gets cooler in the evening.,adjective
すり<div class="hint">pickpocket</div>,すり,pickpocket,すりに <ruby>財布<rt>さいふ</rt></ruby>をとられた。,A pickpocket took my wallet.,noun
汚い<div class="hint">dirty</div>,きたない,dirty,<ruby>彼<rt>かれ</rt></ruby>の <ruby>部屋<rt>へや</rt></ruby>はとても <ruby>汚<rt>きたな</rt></ruby>い。,His room is very dirty.,adjective
太い<div class="hint">thick; fat</div>,ふとい,thick; fat,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>足<rt>あし</rt></ruby>が <ruby>太<rt>ふと</rt></ruby>い。,She has big legs.,adjective
太陽<div class="hint">sun</div>,たいよう,sun,<ruby>太陽<rt>たいよう</rt></ruby>が <ruby>雲<rt>くも</rt></ruby>に <ruby>隠<rt>かく</rt></ruby>れた。,The sun hid behind the clouds.,noun
野球<div class="hint">baseball</div>,やきゅう,baseball,<ruby>友達<rt>ともだち</rt></ruby>と <ruby>野球<rt>やきゅう</rt></ruby>をしました。,I played baseball with my friends.,noun
キャンプ<div class="hint">camping; camp</div>,きゃんぷ,camping; camp,<ruby>友達<rt>ともだち</rt></ruby>とキャンプに <ruby>行<rt>い</rt></ruby>った。,I went camping with my friend.,verbal noun
雲<div class="hint">cloud</div>,くも,cloud,<ruby>今日<rt>きょう</rt></ruby>は <ruby>雲<rt>くも</rt></ruby>が <ruby>多<rt>おお</rt></ruby>い。,It's cloudy today.,noun
曇る<div class="hint">become cloudy</div>,くもる,become cloudy,<ruby>明日<rt>あす</rt></ruby>は <ruby>昼<rt>ひる</rt></ruby> <ruby>頃<rt>ごろ</rt></ruby>から <ruby>曇<rt>くも</rt></ruby>るでしょう。,It'll probably get cloudy around noon tomorrow.,verb
