眠い,ねむい,sleepy,<ruby>今日<rt>きょう</span></rt></ruby>はとても <ruby>眠<rt>ねむ</span></rt></ruby>いです。,I'm very sleepy today.
とんでもない,とんでもない,unthinkable; outrageous,<ruby>仕事<rt>しごと</span></rt></ruby> <ruby>中<rt>ちゅう</span></rt></ruby>に <ruby>帰<rt>かえ</span></rt></ruby>るなんてとんでもない。,It's unthinkable to go home in the middle of work.
偉い,えらい,great; eminent,<ruby>彼<rt>かれ</span></rt></ruby>は <ruby>偉<rt>えら</span></rt></ruby>い <ruby>学者<rt>がくしゃ</span></rt></ruby>です。,He's a great scholar.
臭い,くさい,stinky,<ruby>納豆<rt>なっとう</span></rt></ruby>は <ruby>臭<rt>くさ</span></rt></ruby>い。,Natto stinks.
寂しい,さびしい,lonely; desolate; sad,これは <ruby>寂<rt>さび</span></rt></ruby>しい <ruby>曲<rt>きょく</span></rt></ruby>ですね。,This is a sad song.
しつこい,しつこい,persistent,しつこい <ruby>迷惑<rt>めいわく</span></rt></ruby>メールに <ruby>困<rt>こま</span></rt></ruby>っている。,I am having trouble with persistent junk mails.
懐かしい,なつかしい,fondly-remembered; long-forgotten,ここは <ruby>私<rt>わたし</span></rt></ruby>にとって <ruby>懐<rt>なつ</span></rt></ruby>かしい <ruby>場所<rt>ばしょ</span></rt></ruby>です。,I have a fond memory of this place.
怪しい,あやしい,suspicious; dubious,その <ruby>男<rt>おとこ</span></rt></ruby>の <ruby>行動<rt>こうどう</span></rt></ruby>は <ruby>怪<rt>あや</span></rt></ruby>しかったわ。,That man's behavior was suspicious.
重たい,おもたい,heavy,この <ruby>鞄<rt>かばん</span></rt></ruby>は <ruby>重<rt>おも</span></rt></ruby>たいです。,This bag is heavy.
まぶしい,まぶしい,dazzling; glaring,<ruby>夏<rt>なつ</span></rt></ruby>の <ruby>日差<rt>ひざ</span></rt></ruby>しがまぶしかったよ。,Summer sunlight was dazzling.
心強い,こころづよい,reassuring; heartening,あなたが <ruby>一緒<rt>いっしょ</span></rt></ruby>にいてくれると <ruby>心強<rt>こころづよ</span></rt></ruby>い。,I feel reassured when you are with me.
力強い,ちからづよい,powerful; vigorous,<ruby>彼<rt>かれ</span></rt></ruby>は <ruby>力強<rt>ちからづよ</span></rt></ruby>い <ruby>演技<rt>えんぎ</span></rt></ruby>をするね。,His performance is powerful.
だらしない,だらしない,untidy; sloppy,だらしない <ruby>格好<rt>かっこう</span></rt></ruby>をしないでください。,Please don't dress sloppily.
だるい,だるい,feel run-down; weary,<ruby>昨日<rt>きのう</span></rt></ruby>は <ruby>風邪<rt>かぜ</span></rt></ruby>で <ruby>少<rt>すこ</span></rt></ruby>しだるかったんだ。,Yesterday I felt run-down because I had a cold.
等しい,ひとしい,equal; same,<ruby>私<rt>わたし</span></rt></ruby>は <ruby>株<rt>かぶ</span></rt></ruby>の <ruby>知識<rt>ちしき</span></rt></ruby>がないに <ruby>等<rt>ひと</span></rt></ruby>しいです。,I have almost no knowledge of stocks.
