おかしい,おかしい,strange; peculiar,<ruby>彼<rt>かれ</rt></ruby>の <ruby>様子<rt>ようす</rt></ruby>がおかしい。,He's acting strange.
深い,ふかい,deep; profound,あの <ruby>池<rt>いけ</rt></ruby>はとても <ruby>深<rt>ふか</rt></ruby>い。,That pond is very deep.
冷たい,つめたい,cold (to touch),<ruby>冷<rt>つめ</rt></ruby>たい <ruby>飲<rt>の</rt></ruby>み <ruby>物<rt>もの</rt></ruby>をください。,Please give me a cold drink.
涼しい,すずしい,cool (of temperature),<ruby>夕方<rt>ゆうがた</rt></ruby>は <ruby>涼<rt>すず</rt></ruby>しくなりますよ。,It gets cooler in the evening.
汚い,きたない,dirty,<ruby>彼<rt>かれ</rt></ruby>の <ruby>部屋<rt>へや</rt></ruby>はとても <ruby>汚<rt>きたな</rt></ruby>い。,His room is very dirty.
太い,ふとい,thick; fat,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>足<rt>あし</rt></ruby>が <ruby>太<rt>ふと</rt></ruby>い。,She has big legs.
厳しい,きびしい,strict; severe,<ruby>私<rt>わたし</rt></ruby>の <ruby>上司<rt>じょうし</rt></ruby>はとても <ruby>厳<rt>きび</rt></ruby>しい。,My boss is very strict.
黄色い,きいろい,yellow,<ruby>彼女<rt>かのじょ</rt></ruby>に <ruby>黄色<rt>きいろ</rt></ruby>いバラを <ruby>買<rt>か</rt></ruby>いました。,I bought her a yellow rose.
ひどい,ひどい,cruel; awful,<ruby>妹<rt>いもうと</rt></ruby>とひどい <ruby>喧嘩<rt>けんか</rt></ruby>をした。,I had an awful fight with my little sister.
易しい,やさしい,easy; simple,この <ruby>問題<rt>もんだい</rt></ruby>はかなり <ruby>易<rt>やさ</rt></ruby>しいです。,This problem is fairly easy.
詳しい,くわしい,detailed; complete,もっと <ruby>詳<rt>くわ</rt></ruby>しく <ruby>説明<rt>せつめい</rt></ruby>してください。,Please explain it in greater detail.
細い,ほそい,thin; slender,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>指<rt>ゆび</rt></ruby>が <ruby>細<rt>ほそ</rt></ruby>いですね。,Her fingers are thin.
細かい,こまかい,minute; detailed,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>細<rt>こま</rt></ruby>かいことにうるさい。,She's fussy about small details.
緩い,ゆるい,slack; loose,このズボンは <ruby>緩<rt>ゆる</rt></ruby>いです。,These trousers are loose.
苦しい,くるしい,painful; agonizing,<ruby>食<rt>た</rt></ruby>べ <ruby>過<rt>す</rt></ruby>ぎておなかが <ruby>苦<rt>くる</rt></ruby>しい。,I have eaten too much and my stomach hurts.
甘い,あまい,sweet,このいちごは <ruby>甘<rt>あま</rt></ruby>い。,This strawberry is sweet.
辛い,からい,spicy; hot,<ruby>彼<rt>かれ</rt></ruby>は <ruby>辛<rt>から</rt></ruby>いものが <ruby>好<rt>す</rt></ruby>きです。,He likes spicy food.
薄い,うすい,thin; weak,この <ruby>電子<rt>でんし</rt></ruby> <ruby>辞書<rt>じしょ</rt></ruby>はとても <ruby>薄<rt>うす</rt></ruby>い。,This electronic dictionary is very thin.
厚い,あつい,thick; bulky,その <ruby>辞書<rt>じしょ</rt></ruby>はとても <ruby>厚<rt>あつ</rt></ruby>い。,That dictionary is very thick.
優しい,やさしい,gentle; kind,<ruby>彼<rt>かれ</rt></ruby>はとても <ruby>優<rt>やさ</rt></ruby>しい <ruby>人<rt>ひと</rt></ruby>です。,He's a very kind person.
可愛い,かわいい,cute; sweet,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>赤<rt>あか</rt></ruby>ちゃんは <ruby>可愛<rt>かわい</rt></ruby>いです。,Her baby is cute.
酸っぱい,すっぱい,sour,このぶどうは <ruby>酸<rt>す</rt></ruby>っぱいです。,These grapes are sour.
素晴らしい,すばらしい,excellent; wonderful,<ruby>素晴<rt>すば</rt></ruby>らしい <ruby>景色<rt>けしき</rt></ruby>ですね。,The scenery is great.
珍しい,めずらしい,rare; scarce,<ruby>昨日<rt>きのう</rt></ruby> <ruby>珍<rt>めずら</rt></ruby>しい <ruby>果物<rt>くだもの</rt></ruby>を <ruby>食<rt>た</rt></ruby>べました。,I ate some unusual fruit yesterday.
悲しい,かなしい,sad,その <ruby>映画<rt>えいが</rt></ruby>はとても <ruby>悲<rt>かな</rt></ruby>しかった。,It was a very sad movie.
