大きい,おおきい,big,あの <ruby>大<rt>おお</rt></ruby>きい <ruby>建物<rt>たてもの</rt></ruby>は <ruby>何<rt>なん</rt></ruby>ですか。,What's that big building?
小さい,ちいさい,small,<ruby>小<rt>ちい</rt></ruby>さい <ruby>花<rt>はな</rt></ruby>が <ruby>咲<rt>さ</rt></ruby>いています。,Small flowers are blooming.
少ない,すくない,few; little,<ruby>今年<rt>ことし</rt></ruby>は <ruby>雨<rt>あめ</rt></ruby>が <ruby>少<rt>すく</rt></ruby>ないです。,There's not much rain this year.
多い,おおい,a lot of; many,<ruby>京都<rt>きょうと</rt></ruby>にはお <ruby>寺<rt>てら</rt></ruby>が <ruby>多<rt>おお</rt></ruby>い。,There are a lot of temples in Kyoto.
大人しい,おとなしい,gentle; quiet,<ruby>私<rt>わたし</rt></ruby>の <ruby>彼女<rt>かのじょ</rt></ruby>はとても <ruby>大人<rt>おとな</rt></ruby>しいです。,My girlfriend's very quiet.
青い,あおい,blue,ここの <ruby>海<rt>うみ</rt></ruby>はとても <ruby>青<rt>あお</rt></ruby>い。,The sea here is very blue.
明るい,あかるい,bright; cheerful,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>明<rt>あか</rt></ruby>るい <ruby>性格<rt>せいかく</rt></ruby>です。,She has a cheerful personality.
暗い,くらい,dark; gloomy,<ruby>東<rt>ひがし</rt></ruby>の <ruby>空<rt>そら</rt></ruby>が <ruby>暗<rt>くら</rt></ruby>いです。,The sky in the east is dark.
高い,たかい,high; tall,これがこの <ruby>町<rt>まち</rt></ruby>で <ruby>一番<rt>いちばん</rt></ruby> <ruby>高<rt>たか</rt></ruby>いビルです。,This is the tallest building in this town.
安い,やすい,cheap; inexpensive,この <ruby>服<rt>ふく</rt></ruby>はとても <ruby>安<rt>やす</rt></ruby>かった。,These clothes were very cheap.
低い,ひくい,low; short,<ruby>彼<rt>かれ</rt></ruby>は <ruby>背<rt>せ</rt></ruby>が <ruby>低<rt>ひく</rt></ruby>い。,He's short.
まずい,まずい,bad (taste); distasteful,ここの <ruby>料理<rt>りょうり</rt></ruby>はまずい。,The food here is bad.
いい,いい,good (informal/spoken form),<ruby>彼女<rt>かのじょ</rt></ruby>はいい <ruby>友達<rt>ともだち</rt></ruby>です。,She's a good friend of mine.
近い,ちかい,near; close,<ruby>駅<rt>えき</rt></ruby>はここから <ruby>近<rt>ちか</rt></ruby>いです。,The station is near here.
遠い,とおい,far; distant,<ruby>家<rt>いえ</rt></ruby>から <ruby>学校<rt>がっこう</rt></ruby>までは <ruby>遠<rt>とお</rt></ruby>いです。,It's a long way from my house to school.
長い,ながい,long,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>髪<rt>かみ</rt></ruby>はとても <ruby>長<rt>なが</rt></ruby>い。,Her hair is very long.
短い,みじかい,short; brief,<ruby>彼<rt>かれ</rt></ruby>は <ruby>足<rt>あし</rt></ruby>が <ruby>短<rt>みじか</rt></ruby>い。,His legs are short.
広い,ひろい,wide; big,<ruby>彼<rt>かれ</rt></ruby>の <ruby>家<rt>いえ</rt></ruby>はとても <ruby>広<rt>ひろ</rt></ruby>い。,His house is very big.
白い,しろい,white; blank,<ruby>彼<rt>かれ</rt></ruby>は <ruby>歯<rt>は</rt></ruby>が <ruby>白<rt>しろ</rt></ruby>い。,His teeth are white.
黒い,くろい,black; dark,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>黒<rt>くろ</rt></ruby>いドレスを <ruby>着<rt>き</rt></ruby>ています。,She's wearing a black dress.
赤い,あかい,red,<ruby>赤<rt>あか</rt></ruby>いバラを <ruby>買<rt>か</rt></ruby>いました。,I bought a red rose.
無い,ない,to not be,ここには <ruby>何<rt>なに</rt></ruby>も <ruby>無<rt>な</rt></ruby>い。,There's nothing here.
暑い,あつい,hot (of weather),<ruby>今日<rt>きょう</rt></ruby>はとても <ruby>暑<rt>あつ</rt></ruby>い。,It's very hot today.
熱い,あつい,hot (to touch),このスープはとても <ruby>熱<rt>あつ</rt></ruby>い。,This soup is very hot.
寒い,さむい,cold (temperature of the air),この <ruby>部屋<rt>へや</rt></ruby>は <ruby>寒<rt>さむ</rt></ruby>いです。,It's cold in this room.
暖かい,あたたかい,warm,このコートはとても <ruby>暖<rt>あたた</rt></ruby>かい。,This coat is really warm.
新しい,あたらしい,new,<ruby>彼<rt>かれ</rt></ruby>の <ruby>車<rt>くるま</rt></ruby>は <ruby>新<rt>あたら</rt></ruby>しい。,His car is new.
古い,ふるい,old,<ruby>私<rt>わたし</rt></ruby>は <ruby>古<rt>ふる</rt></ruby>い <ruby>車<rt>くるま</rt></ruby>が <ruby>好<rt>す</rt></ruby>きです。,I like old cars.
良い,よい,good (formal/written form),<ruby>彼<rt>かれ</rt></ruby>は <ruby>良<rt>よ</rt></ruby>い <ruby>人<rt>ひと</rt></ruby>です。,He's a good person.
悪い,わるい,bad,タバコは <ruby>体<rt>からだ</rt></ruby>に <ruby>悪<rt>わる</rt></ruby>い。,Cigarettes are bad for your health.
重い,おもい,heavy,このかばんは <ruby>重<rt>おも</rt></ruby>いです。,This bag is heavy.
軽い,かるい,light (of weight),この <ruby>靴<rt>くつ</rt></ruby>はとても <ruby>軽<rt>かる</rt></ruby>い。,These shoes are very light.
強い,つよい,strong,<ruby>今日<rt>きょう</rt></ruby>は <ruby>風<rt>かぜ</rt></ruby>が <ruby>強<rt>つよ</rt></ruby>い。,There's a strong wind today.
弱い,よわい,weak,その <ruby>子<rt>こ</rt></ruby>は <ruby>体<rt>からだ</rt></ruby>が <ruby>少<rt>すこ</rt></ruby>し <ruby>弱<rt>よわ</rt></ruby>い。,That child has a somewhat weak constitution.
難しい,むずかしい,difficult,この <ruby>本<rt>ほん</rt></ruby>は <ruby>難<rt>むずか</rt></ruby>しいですね。,This book is difficult.
ぬるい,ぬるい,tepid; lukewarm,<ruby>風呂<rt>ふろ</rt></ruby>がぬるかった。,The bath was lukewarm.
早い,はやい,early,まだ <ruby>学校<rt>がっこう</rt></ruby>へ <ruby>行<rt>い</rt></ruby>くには <ruby>早<rt>はや</rt></ruby>い <ruby>時間<rt>じかん</rt></ruby>です。,It's still too early to go to school.
速い,はやい,fast,<ruby>彼<rt>かれ</rt></ruby>は <ruby>走<rt>はし</rt></ruby>るのが <ruby>速<rt>はや</rt></ruby>い。,He runs fast.
遅い,おそい,slow; late,<ruby>前<rt>まえ</rt></ruby>の <ruby>車<rt>くるま</rt></ruby>はとても <ruby>遅<rt>おそ</rt></ruby>い。,The car in front of me is very slow.
楽しい,たのしい,fun; enjoyable,<ruby>彼<rt>かれ</rt></ruby>はとても <ruby>楽<rt>たの</rt></ruby>しい <ruby>人<rt>ひと</rt></ruby>です。,He's very fun to be with.
欲しい,ほしい,want; desire,<ruby>僕<rt>ぼく</rt></ruby>は <ruby>新<rt>あたら</rt></ruby>しい <ruby>靴<rt>くつ</rt></ruby>が <ruby>欲<rt>ほ</rt></ruby>しいです。,I want new shoes.
面白い,おもしろい,interesting; amusing,この <ruby>本<rt>ほん</rt></ruby>はすごく <ruby>面白<rt>おもしろ</rt></ruby>かった。,This book was very interesting.
若い,わかい,young,<ruby>彼<rt>かれ</rt></ruby>はまだ <ruby>若<rt>わか</rt></ruby>いです。,He's still young.
うるさい,うるさい,noisy; annoying,この <ruby>通<rt>とお</rt></ruby>りは <ruby>車<rt>くるま</rt></ruby>の <ruby>音<rt>おと</rt></ruby>がうるさい。,Traffic is noisy on this street.
忙しい,いそがしい,busy; occupied,<ruby>忙<rt>いそが</rt></ruby>しいので <ruby>手伝<rt>てつだ</rt></ruby>ってください。,I have a lot to do; so please help me.
痛い,いたい,sore; painful,<ruby>今日<rt>きょう</rt></ruby>は <ruby>頭<rt>あたま</rt></ruby>が <ruby>痛<rt>いた</rt></ruby>いです。,I have a headache today.
正しい,ただしい,correct; righteous,それは <ruby>正<rt>ただ</rt></ruby>しい <ruby>答<rt>こた</rt></ruby>えです。,That's the correct answer.
うまい,うまい,good at,<ruby>彼<rt>かれ</rt></ruby>は <ruby>野球<rt>やきゅう</rt></ruby>がうまい。,He's good at baseball.
安っぽい,やすっぽい,cheap-looking; tacky,そのシャツは <ruby>安<rt>やす</rt></ruby>っぽいね。,That shirt looks cheap.
うまい,うまい,delicious; tasty,うまい <ruby>寿司<rt>すし</rt></ruby> <ruby>屋<rt>や</rt></ruby>を <ruby>見<rt>み</rt></ruby>つけたよ。,I found a good sushi restaurant.
つまらない,つまらない,boring; dull,<ruby>彼<rt>かれ</rt></ruby>の <ruby>話<rt>はなし</rt></ruby>はつまらないですね。,His story is boring.
