預かる,あずかる,take care of; keep,<ruby>荷物<rt>にもつ</span></rt></ruby>を <ruby>預<rt>あず</span></rt></ruby>かってください。,Please take care of my luggage.
燃える,もえる,burn; catch on fire,<ruby>山<rt>やま</span></rt></ruby>が <ruby>燃<rt>も</span></rt></ruby>えています。,The mountain's on fire.
燃やす,もやす,burn (something),<ruby>古<rt>ふる</span></rt></ruby>い <ruby>手紙<rt>てがみ</span></rt></ruby>を <ruby>燃<rt>も</span></rt></ruby>やしたんだ。,I burned some old letters.
焼く,やく,bake; grill,<ruby>今<rt>いま</span></rt></ruby>、 <ruby>魚<rt>さかな</span></rt></ruby>を <ruby>焼<rt>や</span></rt></ruby>いています。,I'm grilling fish now.
焼ける,やける,burn; cook,<ruby>肉<rt>にく</span></rt></ruby>が <ruby>焼<rt>や</span></rt></ruby>けました。,The meat is cooked.
乾かす,かわかす,dry (something),ぬれた <ruby>服<rt>ふく</span></rt></ruby>を <ruby>乾<rt>かわ</span></rt></ruby>かした。,I dried the wet clothes.
咲く,さく,bloom; blossom,<ruby>桜<rt>さくら</span></rt></ruby>の <ruby>花<rt>はな</span></rt></ruby>が <ruby>咲<rt>さ</span></rt></ruby>きました。,Cherry blossoms have bloomed.
吹く,ふく,blow; play (a wind instrument),<ruby>今日<rt>きょう</span></rt></ruby>は <ruby>北風<rt>きたかぜ</span></rt></ruby>が <ruby>吹<rt>ふ</span></rt></ruby>いている。,The north wind is blowing today.
吸う,すう,inhale; suck,<ruby>彼<rt>かれ</span></rt></ruby>は <ruby>大<rt>おお</span></rt></ruby>きく <ruby>息<rt>いき</span></rt></ruby>を <ruby>吸<rt>す</span></rt></ruby>った。,He took a deep breath.
滑る,すべる,slide; slip,<ruby>彼<rt>かれ</span></rt></ruby>は <ruby>雪<rt>ゆき</span></rt></ruby>の <ruby>上<rt>うえ</span></rt></ruby>を <ruby>滑<rt>すべ</span></rt></ruby>った。,He slipped on the snow.
折れる,おれる,break; snap,<ruby>強風<rt>きょうふう</span></rt></ruby>で <ruby>木<rt>き</span></rt></ruby>の <ruby>枝<rt>えだ</span></rt></ruby>が <ruby>折<rt>お</span></rt></ruby>れた。,A tree branch broke in the strong wind.
